@RELATION TEST1

@ATTRIBUTE mutationId NUMERIC
@ATTRIBUTE elementId NUMERIC
@ATTRIBUTE displayed {0,1}
@ATTRIBUTE height NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE top NUMERIC
@ATTRIBUTE left NUMERIC
@ATTRIBUTE activatorTop NUMERIC
@ATTRIBUTE activatorLeft NUMERIC
@ATTRIBUTE distanceTop NUMERIC
@ATTRIBUTE distanceLeft NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE numberElements NUMERIC
@ATTRIBUTE elements_per_size NUMERIC
@ATTRIBUTE numberWords NUMERIC
@ATTRIBUTE textNodes NUMERIC
@ATTRIBUTE words_per_textNodes NUMERIC
@ATTRIBUTE table {0,1}
@ATTRIBUTE list {0,1}
@ATTRIBUTE input {0,1}
@ATTRIBUTE widgetName {0,1}
@ATTRIBUTE date {0,1}
@ATTRIBUTE img {0,1}
@ATTRIBUTE proportionNumbers NUMERIC
@ATTRIBUTE links80percent NUMERIC
@ATTRIBUTE Result {0,1}

@DATA
112,397,1,462,467,190,879,150,879,0,87,0,113,0.00127352642849093000,195,108,1.8055555556,0,1,0,1,0,1,0.0,0,1
9,8,1,150,81,69,754,0,739,-1,85,-1,6,0.00107353730542136000,13,13,1,0,0,0,1,0,0,0.0,0,1
1,0,1,1256,220,97,661,96,442,30,-1,-1,32,0.00149953139643861000,18,11,1.6363636364,0,0,0,1,0,0,0.0,0,1
40,24,1,440,1364,125,270,83,1127,-1,914,-1,462,0.00270967741935484000,14023,885,15.8451977401,0,1,0,1,0,1,0.0,0,1
66,1129,1,366,727,217,702,273,481,79,0,0,48,0.00030426156352411000,2784,88,31.6363636364,0,1,0,0,0,1,0.0,0,1
136,51,1,134,214,396,1016,345,1018,1,89,-1,13,0.00015340319078636800,8,4,2,0,1,0,1,0,1,0.0,0,1
19,219,1,465,999,305,557,646,347,372,0,0,165,0.00054152513168906600,118,118,1,0,0,0,0,0,1,0.0,0,1
26,0,1,312,659,75,442,37,462,2,79,-2,323,0.00653515427415276000,1121,236,4.75,0,1,0,1,0,0,0.0,0,1
11,27,1,1234,220,97,720,220,501,154,-1,-1,28,0.00131208997188379000,24,10,2.4,0,0,0,1,0,0,0.0,0,1
74,1123,1,366,727,217,702,457,481,263,0,0,47,0.00029792278095069100,2117,85,24.9058823529,0,1,0,0,0,1,0.0,0,1
17,88,1,360,755,299,552,564,352,302,0,0,104,0.00046069680391592300,565,186,3.0376344086,0,1,0,0,0,1,0.0,1,1
0,1,1,297,190,35,1267,0,1267,0,110,0,18,0.00270676691729323000,219,19,11.5263157895,0,0,0,0,0,0,0.0,0,1
13,200,1,360,755,299,552,448,352,186,0,0,71,0.00031451416421183200,441,124,3.5564516129,0,1,0,0,0,1,0.0,1,1
21,49,1,1190,220,97,780,313,561,247,-1,-1,22,0.00103092783505155000,23,8,2.875,0,0,0,1,0,0,0.0,0,1
12,87,1,112,122,170,880,135,880,0,105,0,5,0.00024108003857280600,15,11,1.3636363636,0,0,0,1,0,0,0.0,0,1
